Achiral,Chiral A,Chiral B
4096,0,0
4056,24,16
4006,41,49
3973,56,67
3931,70,95
3880,93,123
3833,117,146
3791,137,168
3754,155,187
3722,178,196
3672,197,227
3626,225,245
3618,232,246
3569,261,266
3525,284,287
3482,303,311
3457,317,322
3421,332,343
3373,357,366
3331,381,384
3286,408,402
3213,446,437
3161,468,467
3093,513,490
3013,563,520
2934,602,560
2863,650,583
2783,697,616
2701,742,653
2594,785,717
2504,833,759
2406,874,816
2328,913,855
2233,955,908
2118,1007,971
2015,1056,1025
1877,1106,1113
1779,1134,1183
1640,1193,1263
1499,1250,1347
1376,1290,1430
1263,1342,1491
1179,1379,1538
1063,1437,1596
946,1488,1662
855,1522,1719
761,1557,1778
669,1603,1824
595,1651,1850
511,1698,1887
414,1741,1941
333,1790,1973
277,1824,1995
241,1837,2018
207,1849,2040
186,1874,2036
145,1900,2051
134,1906,2056
122,1910,2064
100,1922,2074
79,1932,2085
66,1942,2088
50,1959,2087
40,1968,2088
33,1968,2095
35,1960,2101
31,1955,2110
29,1956,2111
21,1964,2111
22,1957,2117
19,1957,2120
29,1948,2119
38,1940,2118
25,1958,2113
17,1972,2107
31,1964,2101
24,1969,2103
22,1968,2106
25,1961,2110
40,1943,2113
25,1948,2123
34,1941,2121
32,1938,2126
30,1943,2123
30,1936,2130
27,1931,2138
42,1927,2127
29,1939,2128
36,1940,2120
28,1956,2112
32,1962,2102
20,1968,2108
17,1967,2112
34,1960,2102
20,1956,2120
12,1954,2130
31,1944,2121
15,1953,2128
25,1947,2124
28,1943,2125
22,1939,2135
31,1934,2131
22,1944,2130
36,1943,2117
20,1958,2118
27,1954,2115
36,1949,2111
27,1947,2122
24,1949,2123
30,1950,2116
25,1952,2119
22,1950,2124
29,1944,2123
22,1953,2121
24,1958,2114
17,1958,2121
29,1952,2115
13,1957,2126
22,1952,2122
23,1945,2128
15,1946,2135
15,1947,2134
14,1953,2129
27,1948,2121
18,1948,2130
26,1946,2124
18,1952,2126
32,1931,2133
18,1938,2140
28,1929,2139
17,1938,2141
26,1930,2140
28,1930,2138
27,1932,2137
23,1934,2139
19,1935,2142
29,1929,2138
25,1932,2139
30,1937,2129
16,1943,2137
16,1944,2136
15,1939,2142
18,1941,2137
25,1938,2133
31,1934,2131
26,1933,2137
25,1932,2139
29,1925,2142
15,1929,2152
28,1933,2135
19,1932,2145
29,1931,2136
26,1932,2138
19,1940,2137
36,1925,2135
23,1924,2149
19,1924,2153
27,1917,2152
24,1915,2157
23,1913,2160
25,1913,2158
16,1921,2159
26,1918,2152
19,1921,2156
20,1927,2149
20,1932,2144
25,1932,2139
21,1933,2142
23,1931,2142
26,1932,2138
29,1922,2145
20,1922,2154
24,1912,2160
14,1915,2167
20,1910,2166
22,1907,2167
19,1907,2170
13,1909,2174
18,1909,2169
13,1906,2177
24,1899,2173
27,1902,2167
19,1905,2172
20,1906,2170
23,1899,2174
9,1908,2179
11,1910,2175
24,1895,2177
14,1905,2177
21,1910,2165
19,1906,2171
28,1897,2171
16,1904,2176
18,1897,2181
20,1900,2176
22,1900,2174
20,1907,2169
17,1907,2172
16,1903,2177
19,1902,2175
33,1893,2170
21,1900,2175
28,1900,2168
35,1896,2165
21,1906,2169
33,1904,2159
22,1908,2166
23,1913,2160
10,1907,2179
26,1899,2171
17,1907,2172
18,1900,2178
17,1893,2186
16,1900,2180
14,1901,2181
21,1895,2180
13,1895,2188
22,1894,2180
29,1892,2175
23,1892,2181
20,1896,2180
19,1895,2182
19,1890,2187
22,1883,2191
24,1890,2182
28,1885,2183
16,1885,2195
10,1891,2195
18,1886,2192
25,1885,2186
16,1895,2185
23,1887,2186
27,1889,2180
15,1894,2187
26,1894,2176
17,1900,2179
22,1895,2179
24,1897,2175
19,1896,2181
29,1895,2172
27,1891,2178
17,1894,2185
17,1900,2179
18,1898,2180
24,1887,2185
23,1889,2184
20,1890,2186
26,1883,2187
22,1888,2186
12,1893,2191
16,1889,2191
