Achiral,Chiral A,Chiral B
3910,106,80
3524,296,276
3182,492,422
2825,656,615
2497,826,773
2187,1016,893
1905,1181,1010
1589,1335,1172
1352,1475,1269
1087,1625,1384
919,1730,1447
789,1831,1476
735,1833,1528
698,1815,1583
706,1821,1569
559,1861,1676
604,1820,1672
510,1909,1677
554,1886,1656
603,1890,1603
505,1906,1685
552,1891,1653
556,1886,1654
566,1910,1620
543,1943,1610
510,1950,1636
562,1948,1586
614,1897,1585
571,1881,1644
513,1928,1655
523,1912,1661
458,1934,1704
516,1905,1675
507,1920,1669
532,1894,1670
530,1906,1660
536,1876,1684
500,1863,1733
610,1788,1698
529,1861,1706
620,1826,1650
505,1857,1734
492,1873,1731
473,1887,1736
538,1821,1737
502,1832,1762
534,1820,1742
557,1789,1750
526,1859,1711
495,1868,1733
506,1873,1717
458,1938,1700
469,1910,1717
445,1903,1748
472,1899,1725
491,1907,1698
528,1919,1649
477,1931,1688
531,1883,1682
489,1934,1673
489,1942,1665
543,1893,1660
529,1917,1650
470,1933,1693
537,1901,1658
529,1892,1675
493,1912,1691
475,1912,1709
491,1918,1687
430,1937,1729
471,1908,1717
464,1926,1706
479,1894,1723
504,1853,1739
483,1891,1722
457,1900,1739
515,1855,1726
499,1867,1730
465,1901,1730
510,1856,1730
502,1850,1744
473,1891,1732
507,1851,1738
495,1826,1775
523,1813,1760
464,1865,1767
459,1876,1761
495,1826,1775
519,1794,1783
465,1821,1810
483,1818,1795
509,1793,1794
471,1824,1801
547,1795,1754
535,1795,1766
491,1816,1789
500,1818,1778
472,1848,1776
492,1825,1779
496,1818,1782
429,1845,1822
443,1836,1817
476,1824,1796
436,1852,1808
483,1856,1757
414,1870,1812
452,1834,1810
460,1823,1813
432,1859,1805
474,1859,1763
483,1848,1765
504,1792,1800
531,1800,1765
517,1816,1763
488,1808,1800
529,1812,1755
516,1822,1758
517,1825,1754
503,1839,1754
469,1844,1783
461,1897,1738
457,1858,1781
477,1870,1749
514,1873,1709
480,1884,1732
422,1883,1791
452,1897,1747
495,1854,1747
489,1855,1752
473,1894,1729
495,1881,1720
450,1891,1755
474,1878,1744
446,1901,1749
483,1910,1703
475,1881,1740
479,1900,1717
468,1869,1759
438,1912,1746
498,1877,1721
480,1882,1734
520,1826,1750
517,1813,1766
502,1831,1763
437,1853,1806
516,1793,1787
517,1805,1774
469,1851,1776
505,1830,1761
520,1806,1770
516,1783,1797
494,1816,1786
496,1824,1776
537,1811,1748
491,1859,1746
523,1822,1751
513,1812,1771
442,1833,1821
497,1809,1790
473,1795,1828
460,1830,1806
470,1847,1779
505,1854,1737
469,1878,1749
478,1857,1761
504,1816,1776
446,1889,1761
447,1879,1770
459,1884,1753
475,1844,1777
469,1882,1745
433,1908,1755
497,1855,1744
485,1883,1728
464,1914,1718
456,1910,1730
480,1924,1692
503,1915,1678
516,1894,1686
501,1903,1692
498,1910,1688
512,1894,1690
437,1928,1731
444,1876,1776
497,1868,1731
422,1939,1735
492,1910,1694
468,1898,1730
469,1889,1738
451,1914,1731
489,1911,1696
480,1916,1700
495,1911,1690
471,1914,1711
483,1904,1709
419,1937,1740
458,1945,1693
491,1949,1656
479,1927,1690
530,1907,1659
438,1916,1742
487,1937,1672
488,1929,1679
490,1890,1716
480,1903,1713
423,1916,1757
495,1871,1730
486,1887,1723
493,1864,1739
470,1909,1717
477,1888,1731
437,1871,1788
435,1921,1740
439,1925,1732
469,1878,1749
430,1921,1745
494,1896,1706
439,1907,1750
460,1915,1721
476,1890,1730
480,1894,1722
475,1892,1729
516,1903,1677
482,1860,1754
543,1837,1716
504,1897,1695
469,1909,1718
475,1892,1729
470,1871,1755
482,1876,1738
449,1894,1753
471,1917,1708
481,1884,1731
514,1888,1694
432,1942,1722
493,1909,1694
450,1950,1696
458,1951,1687
493,1945,1658
470,1953,1673
497,1894,1705
466,1924,1706
410,1929,1757
428,1892,1776
474,1901,1721
430,1900,1766
455,1885,1756
410,1921,1765
477,1884,1735
480,1871,1745
478,1891,1727
