Achiral,Chiral A,Chiral B
3657,198,241
3605,221,270
3563,238,295
3520,254,322
3468,275,353
3432,287,377
3380,313,403
3310,336,450
3238,373,485
3179,396,521
3127,427,542
3058,467,571
2989,502,605
2923,525,648
2852,552,692
2751,607,738
2677,630,789
2603,669,824
2497,720,879
2393,757,946
2276,807,1013
2178,840,1078
2088,875,1133
1994,919,1183
1913,929,1254
1797,964,1335
1693,996,1407
1594,1015,1487
1476,1050,1570
1362,1082,1652
1250,1113,1733
1145,1142,1809
1030,1165,1901
918,1194,1984
839,1205,2052
753,1228,2115
679,1238,2179
620,1245,2231
554,1253,2289
477,1279,2340
440,1279,2377
389,1280,2427
341,1302,2453
314,1290,2492
246,1299,2551
218,1299,2579
189,1305,2602
168,1310,2618
159,1303,2634
126,1313,2657
90,1319,2687
83,1308,2705
64,1311,2721
48,1310,2738
29,1311,2756
31,1311,2754
32,1296,2768
26,1297,2773
33,1288,2775
27,1290,2779
30,1276,2790
32,1265,2799
26,1262,2808
16,1264,2816
36,1248,2812
19,1251,2826
24,1242,2830
37,1229,2830
27,1225,2844
18,1220,2858
30,1208,2858
26,1210,2860
23,1209,2864
17,1203,2876
23,1195,2878
22,1195,2879
18,1197,2881
15,1201,2880
23,1196,2877
17,1193,2886
23,1181,2892
25,1174,2897
21,1174,2901
30,1166,2900
16,1168,2912
19,1167,2910
8,1178,2910
19,1164,2913
12,1166,2918
42,1146,2908
20,1147,2929
22,1142,2932
17,1131,2948
40,1119,2937
16,1126,2954
13,1121,2962
26,1113,2957
29,1108,2959
22,1108,2966
14,1111,2971
42,1086,2968
21,1092,2983
25,1086,2985
20,1091,2985
27,1079,2990
21,1079,2996
24,1070,3002
7,1077,3012
19,1069,3008
22,1068,3006
25,1065,3006
15,1071,3010
17,1069,3010
22,1065,3009
21,1064,3011
19,1057,3020
18,1045,3033
17,1051,3028
18,1044,3034
22,1045,3029
18,1049,3029
23,1042,3031
27,1026,3043
15,1029,3052
19,1021,3056
22,1017,3057
14,1018,3064
19,1015,3062
29,1000,3067
20,995,3081
10,990,3096
20,987,3089
19,981,3096
22,970,3104
14,973,3109
19,970,3107
25,963,3108
21,963,3112
15,966,3115
24,958,3114
17,965,3114
16,963,3117
15,952,3129
24,946,3126
18,948,3130
14,952,3130
21,942,3133
26,940,3130
15,940,3141
14,935,3147
18,932,3146
17,925,3154
18,926,3152
19,923,3154
11,923,3162
12,918,3166
20,911,3165
15,910,3171
22,903,3171
18,896,3182
20,895,3181
14,898,3184
21,890,3185
13,889,3194
16,883,3197
16,882,3198
19,882,3195
13,884,3199
16,881,3199
24,876,3196
9,879,3208
15,875,3206
23,871,3202
25,868,3203
15,870,3211
17,868,3211
12,865,3219
23,862,3211
16,861,3219
20,853,3223
15,853,3228
12,853,3231
11,853,3232
11,848,3237
14,846,3236
20,843,3233
20,835,3241
24,829,3243
20,822,3254
17,813,3266
21,812,3263
14,812,3270
16,805,3275
13,794,3289
17,791,3288
12,791,3293
28,783,3285
15,788,3293
25,779,3292
20,780,3296
19,787,3290
16,781,3299
18,783,3295
15,776,3305
18,773,3305
18,766,3312
17,761,3318
20,755,3321
20,758,3318
15,753,3328
20,746,3330
10,750,3336
20,742,3334
12,747,3337
15,746,3335
20,742,3334
15,744,3337
16,744,3336
21,739,3336
21,737,3338
9,739,3348
20,730,3346
17,722,3357
14,721,3361
18,714,3364
10,717,3369
17,714,3365
18,708,3370
16,705,3375
24,699,3373
9,703,3384
16,702,3378
9,705,3382
18,697,3381
13,693,3390
11,690,3395
19,685,3392
12,685,3399
18,677,3401
20,676,3400
17,673,3406
12,673,3411
18,664,3414
14,661,3421
15,662,3419
14,660,3422
22,658,3416
19,654,3423
14,656,3426
17,645,3434
17,646,3433
13,643,3440
8,638,3450
12,635,3449
20,625,3451
13,623,3460
11,622,3463
14,624,3458
11,619,3466
12,619,3465
9,621,3466
14,620,3462
21,614,3461
15,614,3467
13,609,3474
32,599,3465
14,606,3476
21,599,3476
14,600,3482
23,596,3477
9,597,3490
13,598,3485
13,598,3485
9,598,3489
17,589,3490
14,589,3493
7,595,3494
15,590,3491
22,583,3491
9,583,3504
14,583,3499
16,577,3503
20,574,3502
16,572,3508
11,569,3516
15,568,3513
9,568,3519
22,569,3505
16,572,3508
13,569,3514
13,570,3513
13,568,3515
15,566,3515
10,566,3520
11,562,3523
23,553,3520
19,558,3519
11,560,3525
14,557,3525
13,553,3530
13,553,3530
