Achiral,Chiral A,Chiral B
3657,198,241
3316,386,394
2939,564,593
2617,697,782
2214,880,1002
1851,1030,1215
1402,1249,1445
1034,1420,1642
713,1582,1801
528,1661,1907
361,1728,2007
265,1756,2075
272,1753,2071
208,1798,2090
198,1797,2101
195,1803,2098
166,1837,2093
192,1815,2089
174,1796,2126
163,1811,2122
191,1785,2120
157,1811,2128
152,1794,2150
154,1804,2138
153,1805,2138
155,1787,2154
176,1763,2157
159,1770,2167
153,1776,2167
150,1791,2155
157,1778,2161
147,1778,2171
171,1765,2160
149,1803,2144
137,1808,2151
128,1806,2162
133,1815,2148
157,1787,2152
155,1769,2172
115,1781,2200
143,1768,2185
155,1753,2188
158,1750,2188
134,1763,2199
122,1796,2178
147,1801,2148
136,1807,2153
140,1807,2149
129,1801,2166
160,1755,2181
143,1759,2194
140,1771,2185
137,1770,2189
135,1749,2212
155,1737,2204
136,1737,2223
177,1708,2211
140,1743,2213
132,1735,2229
166,1701,2229
115,1726,2255
130,1708,2258
141,1695,2260
146,1682,2268
130,1702,2264
127,1697,2272
129,1691,2276
139,1649,2308
101,1660,2335
148,1642,2306
155,1609,2332
122,1617,2357
130,1636,2330
106,1648,2342
120,1640,2336
138,1637,2321
112,1651,2333
127,1661,2308
147,1655,2294
150,1658,2288
157,1642,2297
131,1665,2300
137,1660,2299
135,1664,2297
131,1672,2293
122,1669,2305
106,1683,2307
138,1668,2290
143,1651,2302
139,1659,2298
135,1637,2324
151,1630,2315
124,1635,2337
131,1639,2326
119,1645,2332
122,1610,2364
110,1610,2376
121,1620,2355
123,1612,2361
138,1596,2362
125,1594,2377
102,1601,2393
120,1594,2382
130,1587,2379
119,1575,2402
124,1573,2399
124,1557,2415
131,1550,2415
143,1531,2422
132,1537,2427
141,1542,2413
151,1537,2408
127,1531,2438
124,1546,2426
122,1539,2435
118,1539,2439
125,1522,2449
111,1526,2459
112,1524,2460
110,1536,2450
111,1510,2475
112,1518,2466
130,1514,2452
118,1510,2468
124,1524,2448
114,1530,2452
120,1529,2447
105,1536,2455
133,1524,2439
129,1504,2463
124,1504,2468
112,1512,2472
117,1493,2486
145,1479,2472
122,1505,2469
135,1493,2468
143,1462,2491
115,1484,2497
119,1498,2479
122,1490,2484
115,1499,2482
106,1502,2488
122,1477,2497
143,1474,2479
96,1475,2525
104,1467,2525
86,1485,2525
116,1473,2507
134,1451,2511
140,1443,2513
126,1473,2497
134,1483,2479
121,1489,2486
129,1504,2463
122,1498,2476
120,1498,2478
114,1489,2493
126,1483,2487
115,1488,2493
103,1496,2497
133,1458,2505
135,1456,2505
118,1475,2503
105,1460,2531
104,1468,2524
121,1455,2520
107,1450,2539
100,1444,2552
115,1447,2534
98,1446,2552
125,1430,2541
107,1447,2542
116,1439,2541
107,1436,2553
103,1428,2565
144,1420,2532
89,1427,2580
118,1397,2581
112,1410,2574
131,1397,2568
110,1404,2582
126,1392,2578
103,1400,2593
118,1384,2594
108,1383,2605
106,1376,2614
123,1359,2614
111,1359,2626
110,1361,2625
104,1360,2632
115,1341,2640
121,1340,2635
119,1340,2637
97,1362,2637
112,1345,2639
102,1342,2652
109,1339,2648
98,1338,2660
112,1342,2642
126,1322,2648
113,1325,2658
